E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_48_861.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_48_861.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_48_861.jpg,0,0,0,1.955923E-05
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_48_928.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_48_928.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_48_928.jpg,0,0,0,2.112062E-05
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_48_995.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_48_995.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_48_995.jpg,0,0,0,2.975517E-06
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_064.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_064.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_064.jpg,0,0,0,3.047065E-06
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_134.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_134.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_134.jpg,0,0,0,1.571299E-06
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_203.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_203.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_203.jpg,0,0,0,1.433857E-05
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_273.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_273.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_273.jpg,0,0,0,1.584127E-05
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_343.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_343.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_343.jpg,0,0,0,1.902434E-05
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_412.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_412.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_412.jpg,0,0,0,9.052908E-06
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_478.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_478.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_478.jpg,0,0,0,1.353936E-05
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_548.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_548.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_548.jpg,0,0,0,7.249735E-07
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_618.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_618.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_618.jpg,0,0,0,7.12053E-06
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_687.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_687.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_687.jpg,0,0,0,3.04713E-05
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_755.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_755.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_755.jpg,0,0,0,7.721905E-06
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_822.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_822.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_822.jpg,0,0,0,1.219038E-06
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_890.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_890.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_890.jpg,0,0.1401462,0,0.02554971
E:\Workplace\MSproject\data\1\IMG\center_2021_09_16_21_50_49_957.jpg,E:\Workplace\MSproject\data\1\IMG\left_2021_09_16_21_50_49_957.jpg,E:\Workplace\MSproject\data\1\IMG\right_2021_09_16_21_50_49_957.jpg,0,0.3855015,0,0.3258686
